Generacion:1 | Hora:[3, 10, 26] | Puntuacion:0
Generacion:1 | Hora:[3, 10, 26] | Puntuacion:0
Generacion:1 | Hora:[3, 10, 26] | Puntuacion:0
Generacion:1 | Hora:[3, 10, 26] | Puntuacion:0
Generacion:1 | Hora:[3, 10, 26] | Puntuacion:0
Generacion:1 | Hora:[3, 16, 21] | Puntuacion:0.7199000120162964
Generacion:1 | Hora:[3, 16, 21] | Puntuacion:0
Generacion:1 | Hora:[3, 23, 19] | Puntuacion:0.651199996471405
Generacion:1 | Hora:[3, 23, 19] | Puntuacion:0
Generacion:1 | Hora:[3, 23, 19] | Puntuacion:0
Generacion:1 | Hora:[3, 23, 20] | Puntuacion:0
Generacion:1 | Hora:[3, 23, 20] | Puntuacion:0
Generacion:1 | Hora:[3, 32, 23] | Puntuacion:0.10000000149011612
Generacion:1 | Hora:[3, 32, 23] | Puntuacion:0
Generacion:1 | Hora:[3, 32, 23] | Puntuacion:0
Generacion:1 | Hora:[3, 51, 42] | Puntuacion:0.10000000149011612
Generacion:1 | Hora:[3, 51, 43] | Puntuacion:0
Generacion:1 | Hora:[4, 9, 8] | Puntuacion:0.1298000067472458
Generacion:1 | Hora:[4, 9, 8] | Puntuacion:0
Generacion:1 | Hora:[4, 9, 8] | Puntuacion:0
Generacion:1 | Hora:[4, 9, 8] | Puntuacion:0
Generacion:1 | Hora:[4, 9, 8] | Puntuacion:0
Generacion:1 | Hora:[4, 19, 47] | Puntuacion:0.10000000149011612
Generacion:1 | Hora:[4, 19, 47] | Puntuacion:0
Generacion:1 | Hora:[4, 36, 30] | Puntuacion:0.7739999890327454
Generacion:1 | Hora:[4, 45, 52] | Puntuacion:0.10000000149011612
Generacion:1 | Hora:[4, 45, 52] | Puntuacion:0
Generacion:1 | Hora:[4, 45, 52] | Puntuacion:0
Generacion:1 | Hora:[5, 17, 14] | Puntuacion:0.7932999730110168
Generacion:1 | Hora:[5, 17, 14] | Puntuacion:0
Generacion:2 | Hora:[5, 17, 15] | Puntuacion:0
Generacion:2 | Hora:[5, 17, 15] | Puntuacion:0
Generacion:2 | Hora:[5, 21, 19] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[5, 29, 1] | Puntuacion:0.7623999714851379
Generacion:2 | Hora:[5, 29, 1] | Puntuacion:0
Generacion:2 | Hora:[5, 52, 17] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[5, 52, 17] | Puntuacion:0
Generacion:2 | Hora:[5, 52, 17] | Puntuacion:0
Generacion:2 | Hora:[5, 52, 17] | Puntuacion:0
Generacion:2 | Hora:[5, 52, 17] | Puntuacion:0
Generacion:2 | Hora:[5, 56, 9] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[5, 56, 9] | Puntuacion:0
Generacion:2 | Hora:[6, 9, 43] | Puntuacion:0.6074000000953674
Generacion:2 | Hora:[6, 17, 3] | Puntuacion:0.7297999858856201
Generacion:2 | Hora:[6, 17, 3] | Puntuacion:0
Generacion:2 | Hora:[6, 22, 28] | Puntuacion:0.5767999887466431
Generacion:2 | Hora:[6, 22, 28] | Puntuacion:0
Generacion:2 | Hora:[6, 31, 59] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[6, 40, 19] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[6, 47, 35] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[7, 2, 37] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[7, 9, 55] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[7, 9, 55] | Puntuacion:0
Generacion:2 | Hora:[7, 9, 55] | Puntuacion:0
Generacion:2 | Hora:[7, 22, 52] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[7, 22, 53] | Puntuacion:0
Generacion:2 | Hora:[8, 7, 42] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[8, 9, 37] | Puntuacion:0.10000000149011612
Generacion:2 | Hora:[8, 9, 38] | Puntuacion:0
Generacion:2 | Hora:[8, 17, 59] | Puntuacion:0.10000000149011612
Generacion:3 | Hora:[8, 17, 59] | Puntuacion:0
Generacion:3 | Hora:[8, 24, 51] | Puntuacion:0.13580000400543213
Generacion:3 | Hora:[8, 41, 25] | Puntuacion:0.7006999850273132
Generacion:3 | Hora:[8, 55, 53] | Puntuacion:0.8101999759674072
Generacion:3 | Hora:[9, 11, 29] | Puntuacion:0.10000000149011612
Generacion:3 | Hora:[9, 33, 16] | Puntuacion:0.7534000277519226
Generacion:3 | Hora:[9, 33, 16] | Puntuacion:0
Generacion:3 | Hora:[9, 43, 44] | Puntuacion:0.7628999948501587
Generacion:3 | Hora:[9, 45, 22] | Puntuacion:0.10000000149011612
Generacion:3 | Hora:[10, 1, 8] | Puntuacion:0.15700000524520874
