Generacion:1 | Hora:[23, 21, 29] | Puntuacion:0
Generacion:1 | Hora:[23, 32, 54] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[23, 32, 54] | Puntuacion:0
Generacion:1 | Hora:[0, 7, 23] | Puntuacion:0.3294000029563904
Generacion:1 | Hora:[0, 7, 23] | Puntuacion:0
Generacion:1 | Hora:[0, 7, 23] | Puntuacion:0
Generacion:1 | Hora:[0, 10, 45] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 10, 45] | Puntuacion:0
Generacion:1 | Hora:[0, 10, 46] | Puntuacion:0
Generacion:1 | Hora:[0, 10, 46] | Puntuacion:0
Generacion:1 | Hora:[0, 15, 3] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 15, 3] | Puntuacion:0
Generacion:1 | Hora:[0, 32, 26] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 42, 8] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 42, 8] | Puntuacion:0
Generacion:1 | Hora:[0, 42, 8] | Puntuacion:0
Generacion:1 | Hora:[0, 42, 8] | Puntuacion:0
Generacion:1 | Hora:[0, 49, 30] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 49, 30] | Puntuacion:0
Generacion:1 | Hora:[0, 49, 30] | Puntuacion:0
Generacion:1 | Hora:[0, 49, 30] | Puntuacion:0
Generacion:1 | Hora:[0, 49, 30] | Puntuacion:0
Generacion:1 | Hora:[0, 49, 31] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0.009999999776482582
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:1 | Hora:[0, 55, 22] | Puntuacion:0
Generacion:2 | Hora:[1, 14, 23] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 14, 23] | Puntuacion:0
Generacion:2 | Hora:[1, 19, 27] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 26, 54] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 26, 54] | Puntuacion:0
Generacion:2 | Hora:[1, 26, 54] | Puntuacion:0
Generacion:2 | Hora:[1, 26, 55] | Puntuacion:0
Generacion:2 | Hora:[1, 32, 17] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 38, 47] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 50, 5] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[1, 50, 5] | Puntuacion:0
Generacion:2 | Hora:[1, 50, 5] | Puntuacion:0
Generacion:2 | Hora:[2, 57, 40] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[2, 57, 40] | Puntuacion:0
Generacion:2 | Hora:[3, 1, 53] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[3, 1, 53] | Puntuacion:0
Generacion:2 | Hora:[3, 1, 53] | Puntuacion:0
Generacion:2 | Hora:[3, 6, 32] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[3, 6, 32] | Puntuacion:0
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0
Generacion:2 | Hora:[3, 25, 34] | Puntuacion:0
Generacion:2 | Hora:[3, 46, 59] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[3, 55, 1] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[4, 5, 1] | Puntuacion:0.009999999776482582
Generacion:2 | Hora:[4, 25, 42] | Puntuacion:0.3368000090122223
Generacion:2 | Hora:[5, 1, 47] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[5, 14, 8] | Puntuacion:0.3772999942302704
Generacion:3 | Hora:[5, 14, 8] | Puntuacion:0
Generacion:3 | Hora:[5, 16, 35] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[5, 21, 35] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[5, 34, 7] | Puntuacion:0.33250001072883606
Generacion:3 | Hora:[5, 42, 57] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 2, 35] | Puntuacion:0.34880000352859497
Generacion:3 | Hora:[6, 14, 6] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 30, 35] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 38, 51] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 43, 52] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 48, 55] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[6, 57, 30] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[7, 18, 38] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[7, 33, 50] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[7, 56, 22] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[8, 8, 35] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[8, 15, 25] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[9, 2, 46] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[9, 2, 57] | Puntuacion:0
Generacion:3 | Hora:[9, 3, 7] | Puntuacion:0
Generacion:3 | Hora:[9, 3, 7] | Puntuacion:0
Generacion:3 | Hora:[9, 3, 18] | Puntuacion:0
Generacion:3 | Hora:[9, 14, 5] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[9, 14, 5] | Puntuacion:0
Generacion:3 | Hora:[9, 14, 5] | Puntuacion:0
Generacion:3 | Hora:[9, 47, 20] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[9, 56, 47] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[9, 58, 52] | Puntuacion:0.009999999776482582
Generacion:3 | Hora:[10, 7, 47] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[10, 15, 59] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[10, 26, 10] | Puntuacion:0.44699999690055847
Generacion:4 | Hora:[10, 48, 15] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[11, 15, 27] | Puntuacion:0.17270000278949738
Generacion:4 | Hora:[11, 42, 35] | Puntuacion:0.41179999709129333
Generacion:4 | Hora:[11, 58, 54] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[12, 59, 41] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[13, 19, 57] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[13, 48, 37] | Puntuacion:0.3677999973297119
Generacion:4 | Hora:[14, 1, 43] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 26, 53] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 40, 51] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[14, 58, 13] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[15, 51, 10] | Puntuacion:0.367000013589859
Generacion:4 | Hora:[16, 5, 45] | Puntuacion:0.03519999980926514
Generacion:4 | Hora:[16, 11, 53] | Puntuacion:0.009999999776482582
Generacion:4 | Hora:[16, 11, 53] | Puntuacion:0
Generacion:4 | Hora:[16, 27, 28] | Puntuacion:0.009999999776482582
